nta_code,nta_name,borough,urban_pressure_score,pressure_level,airbnb_per_1000_residents,evictions_per_1000_renter_units,complaints_per_1000_residents,violations_per_1000_residents,poverty_rate_pct,rent_burden_rate_pct
BX0502,Mount Hope,Bronx,70.59009049436233,High,0.5286306352025713,16.07501674480911,303.7088725365812,295.3987989511968,31.7,61.7
BX0201,Hunts Point,Bronx,67.57670535714509,High,1.339820887102461,31.666666666666668,175.16395176644806,218.8844228192652,29.4,62.9
BX0603,Belmont,Bronx,66.78004486275375,High,0.7641087217552669,13.493377483443707,192.03689553542188,210.56653203798712,40.0,66.4
BX0402,Highbridge,Bronx,66.38647704415396,High,0.8526226039725897,15.19409801510627,280.2286291723245,225.0923674487637,33.7,58.2
BX1201,Williamsbridge-Olinville,Bronx,62.81791748673792,High,0.8827041902487149,22.055847834884663,196.2891808158956,181.45628883465739,24.5,62.0
MN0902,Manhattanville-West Harlem,Manhattan,58.17449990992457,High,15.00449236298293,0.0,199.46091644204853,270.53009883198564,29.1,54.0
BX0503,Fordham Heights,Bronx,57.514551444149134,High,0.459460287315833,0.0,247.46531074830767,225.80941587282138,32.6,63.7
BX0703,Norwood,Bronx,57.369587813979585,High,0.5815864667357827,11.700852893494044,218.6765114926543,194.452170834703,27.8,58.1
BX0601,West Farms,Bronx,57.072845956661965,High,0.11174432897530451,0.0,207.73270756509106,205.33020449212202,44.9,61.7
BX0401,Concourse-Concourse Village,Bronx,55.01420842258929,High,1.1824931145970543,0.0,217.0847802658364,218.74625793318165,32.8,62.7
BX0602,Tremont,Bronx,53.87286492891836,High,0.30721022395625325,0.0,219.99324137507296,215.9380664188504,33.8,60.1
BX0701,University Heights (North)-Fordham,Bronx,52.80811082772691,High,0.6763459283975111,0.0,206.8716746325187,215.95725493732527,26.7,66.0
BX0303,Crotona Park East,Bronx,52.7511604779893,High,0.4818447771467906,12.057641407705127,159.42178626742384,146.6873171571158,30.4,60.3
BX0202,Longwood,Bronx,52.709135364582785,High,0.4396141164977409,10.824702126002649,151.49590914641593,158.84723409451703,33.4,58.9
BX0301,Morrisania,Bronx,52.54043473894485,High,1.0839957751959532,0.0,195.091444771805,195.3693924064706,36.8,60.0
BK0902,Prospect Lefferts Gardens-Wingate,Brooklyn,52.344716120618365,High,11.893749174045197,12.617886178861788,179.2872560680146,205.29932602088013,16.1,48.8
BK1401,Flatbush,Brooklyn,52.29869581388095,High,5.603884577581527,8.520865195542932,211.67133657048132,274.2676074933619,14.9,48.8
BK1602,Brownsville,Brooklyn,51.85270899944757,High,0.6244579358196011,11.60772401822521,99.13269731136167,144.35385949696445,38.2,60.9
MN0903,Hamilton Heights-Sugar Hill,Manhattan,51.78131370444237,High,14.33466590519703,0.0,203.3885398819722,222.97734627831713,23.6,51.5
MN1201,Washington Heights (South),Manhattan,51.58514288887785,High,7.458497072740396,0.0,194.1080546421793,242.16055818429706,22.2,58.6
